3,S,2
0.4,S,0
0.4,S,1
0.4,S,2
0.4,S,3
0.4,S,4
0.4,S,5
0.4,S,6
0.4,S,7
0.4,S,8
0.5,S,1
0.5,S,1
0.5,S,1
0.5,S,1
2,S,3
0.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
4,M,0
0,M,2
0,M,4
2,L,2
3,S,1
0.5,S,1
0.5,S,1
0.5,S,1
0.5,S,1
2,S,3
0.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
2,L,2
2,L,0
2,L,4
1,M,5
0,M,7
1,S,0
0.5,S,1
0.5,S,2
0.5,S,3
0.5,S,4
0.5,S,3
0.5,S,2
0.5,S,1
0.5,S,0
2,L,2
0,M,0
0,M,4
3,B,2
10,S,2
0.5,S,5
0.5,S,6
0.5,S,7
0.5,S,8
0.5,S,8
0.5,S,7
0.5,S,6
0.5,S,5
0.4,S,0
0.4,S,1
0.4,S,2
0.4,S,3
0.4,S,4
0.4,S,5
0.4,S,6
0.4,S,7
0.4,S,8
4,M,0
0,M,2
0,M,4
2,L,2
3,S,1
0.5,S,1
0.5,S,1
0.5,S,1
0.5,S,1
2,S,3
0.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
2,L,2
2,L,0
2,L,4
1,M,5
0,M,7
1,S,0
0.5,S,1
0.5,S,2
0.5,S,3
0.5,S,4
0.5,S,3
0.5,S,2
0.5,S,1
0.5,S,0
2,L,2
0,M,0
0,M,4
0.5,S,5
0.5,S,6
0.5,S,7
0.5,S,8
0.5,S,8
0.5,S,7
0.5,S,6
0.5,S,5
0.4,S,0
0.4,S,1
0.4,S,2
0.4,S,3
0.4,S,4
0.4,S,5
0.4,S,6
0.4,S,7
0.4,S,8
4,M,0
0,M,2
0,M,4
2,L,2
3,S,1
0.5,S,1
0.5,S,1
0.5,S,1
0.5,S,1
2,S,3
0.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
2,L,2
2,L,0
2,L,4
1,M,5
0,M,7
1,S,0
0.5,S,1
0.5,S,2
0.5,S,3
0.5,S,4
0.5,S,3
0.5,S,2
0.5,S,1
0.5,S,0
2,L,2
0,M,0
0,M,4
0.5,S,5
0.5,S,6
0.5,S,7
0.5,S,8
0.5,S,8
0.5,S,7
0.5,S,6
0.5,S,5
